label	length
2	2000
2	2000
2	3000
2	2000
2	4000
2	2000
2	3000
2	4000
2	3000
2	3000
2	3000
2	2000
2	6000
2	1000
2	6000
2	1000
2	2000
2	5000
2	3000
2	3000
2	5000
2	4000
2	8000
2	2000
2	4000
2	2000
2	2000
2	7000
2	3000
2	2000
2	5000
2	1000
2	4000
2	3000
2	3000
2	8000
2	8000
2	3000
2	8000
2	6000
2	4000
2	1000
2	2000
2	2000
2	7000
2	3000
2	2000
2	3000
2	2000
2	1000
2	2000
2	4000
2	3000
2	4000
2	2000
2	2000
2	5000
2	2000
2	3000
2	2000
2	5000
2	2000
2	3000
2	4000
2	10000
2	3000
2	1000
2	2000
2	1000
2	4000
2	2000
2	4000
2	7000
2	4000
2	4000
2	4000
2	4000
2	3000
2	2000
2	3000
2	2000
2	2000
2	7000
2	3000
2	2000
2	4000
2	2000
2	2000
2	6000
2	2000
2	1000
2	2000
2	2000
2	2000
2	2000
2	3000
2	6000
2	6000
2	11000
2	4000
2	3000
2	3000
2	5000
2	2000
2	10000
2	6000
2	2000
2	8000
2	6000
2	16000
2	3000
2	2000
2	2000
2	3000
2	2000
2	2000
2	4000
2	6000
2	20000
2	4000
2	10000
2	2000
2	3000
2	3000
2	17000
2	2000
2	6000
2	3000
2	7000
2	2000
2	3000
2	2000
2	4000
2	2000
2	3000
2	4000
2	2000
2	2000
2	4000
2	5000
2	2000
2	4000
2	5000
2	3000
2	2000
2	7000
2	9000
2	10000
2	2000
2	7000
2	4000
2	4000
2	4000
2	2000
2	3000
2	5000
2	7000
2	32000
2	5000
2	6000
2	4000
2	5000
2	1000
2	4000
2	8000
2	3000
2	14000
2	5000
2	6000
2	34000
2	8000
2	2000
2	7000
2	3000
2	5000
2	13000
2	8000
2	6000
2	8000
2	11000
2	26000
2	3000
2	7000
2	9000
2	8000
2	18000
2	2000
2	5000
2	3000
2	3000
2	43000
2	7000
2	19000
2	11000
2	3000
2	7001
2	20000
2	1000
2	4000
2	7000
2	5000
2	3000
2	3000
2	8000
2	3000
2	4000
2	17000
2	12000
2	3000
2	3000
2	1000
2	9000
2	4000
2	7000
2	2000
2	6000
2	3000
2	4000
2	2000
2	4000
2	2000
2	1000
2	4000
2	6000
2	2000
2	2000
2	2000
2	9000
2	3000
2	2000
2	3000
2	1000
2	7000
2	6000
2	5000
2	3000
2	7000
2	14000
2	4000
2	1000
2	3000
2	5000
2	4000
2	2000
2	6000
2	2000
2	2000
2	9000
2	3000
2	3000
2	1000
2	3000
2	7000
2	5000
2	10000
2	3000
2	5000
2	3000
2	6000
2	2000
2	3000
2	5000
2	8000
2	4000
2	13000
2	13000
2	3000
2	3000
2	11000
2	5000
2	3000
2	9000
2	2000
2	10000
2	3000
2	3000
2	2000
2	3000
2	6000
2	2000
2	3000
2	2000
2	3000
2	13000
2	10000
2	13000
2	6000
2	4000
2	5000
2	13000
2	8000
2	3000
2	3000
2	2000
2	3000
2	4000
2	7000
2	6000
2	2000
2	3000
2	4000
2	8000
2	2000
2	3000
2	5000
2	3000
2	3000
2	12000
2	3000
2	3000
2	4000
2	18000
2	3000
2	6000
2	4000
2	14000
2	4000
2	2000
2	26000
2	2000
2	5000
2	11000
2	15000
2	6000
2	10000
2	11000
2	14000
2	1000
2	1000
2	8000
2	2000
2	3000
2	1000
2	5000
2	3000
2	6000
2	3000
2	4000
2	2000
2	3000
2	8000
2	5000
2	5000
2	8000
2	18000
2	1000
2	6000
2	4000
2	4000
2	7000
2	3000
2	3000
2	4000
2	3000
2	10000
2	6000
2	5000
2	5000
2	3000
2	3000
2	9000
2	3000
2	5000
2	2000
2	4000
2	12000
2	2000
2	3000
2	3000
2	6000
2	2000
2	4000
2	3000
2	3000
2	4000
2	3000
2	2000
2	2000
2	2000
2	3000
2	2000
2	1000
2	2000
2	3000
2	3000
2	3000
2	8000
2	4000
2	4000
2	3000
2	4000
2	8000
2	4000
2	5000
2	3000
2	6000
2	4000
2	3000
2	2000
2	3000
2	6000
2	7000
2	3000
2	6000
2	5000
2	7000
2	8000
2	6000
2	2000
2	4000
2	7000
2	5000
2	5000
2	4000
2	10000
2	2000
2	3000
2	1000
2	7000
2	5000
2	1000
2	3000
2	8000
2	2000
2	3000
2	7000
2	4000
2	3000
2	8000
2	4000
2	3000
2	2000
2	4000
2	3000
2	2000
2	6000
2	2000
2	5000
2	4000
2	6000
2	3000
2	5000
2	7000
2	2000
2	8000
2	8000
2	4000
2	2000
2	5000
2	8000
2	20000
2	4000
2	2000
2	3000
2	2000
2	23000
2	4000
2	7000
2	2000
2	3000
2	2000
2	5000
2	3000
2	6000
2	2000
2	3000
2	9000
2	3000
2	3000
2	3000
2	4000
2	5000
2	14000
2	4000
2	8000
2	14000
2	3000
2	6000
2	5000
2	2000
2	5000
2	2000
2	6000
2	2000
2	3000
2	7000
2	7000
2	2000
2	8000
2	3000
2	3000
2	12000
2	5000
2	2000
2	4000
2	1000
2	4000
2	12000
2	12000
2	2000
2	3000
2	11000
2	6000
2	2000
2	9000
2	3000
2	3000
2	10000
2	6000
2	3000
2	5000
2	2000
2	5000
2	12000
2	14000
2	15000
2	10000
2	24000
2	3000
2	9000
2	3000
2	4000
2	6000
2	6000
2	2000
2	4000
2	6000
2	6000
2	5000
2	6000
2	3000
2	3000
2	1000
2	6000
2	3000
2	3000
2	4000
2	2000
2	2000
2	2000
2	6000
2	26000
2	6000
2	3000
2	9000
2	3000
2	9000
2	3000
2	10000
2	5000
2	3000
2	4000
2	2000
2	4000
2	3000
2	4000
2	3000
2	4000
2	7000
2	7000
2	16000
2	27000
2	12000
2	5000
2	2000
2	4000
2	16000
2	3000
2	2000
2	3000
2	6000
2	4000
2	12000
2	3000
2	2000
2	14000
2	17000
2	4000
2	9000
2	4000
2	33000
2	2000
2	2000
2	2000
2	8000
2	10000
2	6000
2	4000
2	3000
2	3000
2	13000
2	2000
2	2000
2	2000
2	2000
2	4000
2	2000
2	10000
2	4000
2	19000
2	5000
2	2000
2	3000
2	5000
2	4000
2	3000
2	3000
2	9000
2	3000
2	2000
2	4000
2	3000
2	2000
2	7000
2	14000
2	2000
2	8000
2	4000
2	14000
2	2000
2	4000
2	8000
2	6000
2	6000
2	3000
2	16000
2	2000
2	4000
2	4000
2	8000
2	2000
2	4000
2	3000
2	7000
2	1000
2	2000
2	2000
2	4000
2	2000
2	2000
2	2000
2	7000
2	3000
2	1000
2	7000
2	2000
2	2000
2	13000
2	5000
2	3000
2	1000
2	6000
2	6000
2	7000
2	8000
2	6000
2	1000
2	5000
2	3000
2	5000
2	9000
2	2000
2	2000
2	3000
2	2000
2	3000
2	3000
2	3000
2	1000
2	3000
2	2000
2	3000
2	4000
2	2000
2	10000
2	5000
2	3000
2	4000
2	6000
2	3000
2	6000
2	6000
2	3000
2	7000
2	13000
2	3000
2	8000
2	6000
2	2000
2	5000
2	3000
2	3000
2	3000
2	3000
2	4000
2	4000
2	2000
2	6000
2	3000
2	3000
2	4000
2	1000
2	4000
2	4000
2	4000
2	3000
2	4000
2	2000
2	9000
2	8000
2	5000
2	7000
2	5000
2	3000
2	2000
2	2000
2	6000
2	3000
2	2000
2	2000
2	2000
2	4000
2	5000
2	3000
2	2000
2	2000
2	3000
2	2000
2	4000
2	6000
2	8000
2	2000
2	2000
2	1000
2	12000
2	5000
2	21000
2	1000
2	1000
2	4000
2	4000
2	5000
2	3000
2	2000
2	2000
2	2000
2	5000
2	1000
2	5000
2	4000
2	4000
2	2000
2	2000
2	4000
2	2000
2	2000
2	5000
2	2000
2	3000
2	2000
2	9000
2	4000
2	3000
2	2000
2	2000
2	1000
2	4000
2	1000
2	2000
2	2000
2	1000
2	1000
2	1000
2	2000
2	3000
2	2000
2	3000
2	4000
2	2000
2	2000
2	2000
2	7000
2	5000
2	8000
2	2000
2	6000
2	5000
2	9000
2	5000
2	2000
2	4000
2	6000
2	1000
2	2000
2	2000
2	2000
2	3000
2	3000
2	3000
2	4000
2	3000
2	14000
2	2000
2	2000
2	3000
2	3000
2	2000
2	16000
2	13000
2	3000
2	5000
2	4000
2	6000
2	2000
2	3000
2	4000
2	7000
2	8000
2	6000
2	5000
2	30000
2	2000
2	6000
2	5000
2	4000
2	5000
2	9000
2	4000
2	11000
2	13000
2	3000
2	2000
2	8000
2	28000
2	6000
2	5000
2	8000
2	26000
2	4000
2	14000
2	3000
2	8000
2	4000
2	20000
2	5000
2	1000
2	5000
2	11000
2	11000
2	16000
2	7000
2	11000
2	6000
2	8000
2	8000
2	21000
2	18000
2	5000
2	1000
2	2000
2	2000
2	2000
2	2000
2	3000
2	4000
2	4000
2	17000
2	1000
2	4000
2	3000
2	5000
2	5000
2	10000
2	3000
2	3000
2	6000
2	4000
2	2000
2	2000
2	3000
2	14000
2	2000
2	15000
2	3000
2	4000
2	2000
2	9000
2	9000
2	3000
2	3000
2	16000
2	2000
2	4000
2	15000
2	6000
2	3000
2	2000
2	2000
2	14000
2	6000
2	10000
2	2000
2	3000
2	15000
2	6000
2	2000
2	16000
2	4000
2	16000
2	2000
2	4000
2	6000
2	5000
2	6000
2	3000
2	2000
2	2000
2	16000
2	3000
2	12000
2	4000
2	7000
2	10000
2	2000
2	8000
2	3000
2	5000
2	2000
2	1000
2	9000
2	4000
2	3000
2	1000
2	3000
2	5000
2	2000
2	7000
2	2000
2	3000
2	3000
2	4000
2	1000
2	1000
2	2000
2	4000
2	2000
2	2000
2	2000
2	9000
2	3000
2	2000
2	2000
2	7000
2	2000
2	3000
2	4000
2	2000
2	9000
2	1000
2	5000
2	14000
2	3000
2	7000
2	7000
2	4000
2	4000
2	4000
2	4000
2	3000
2	3000
2	5000
2	12000
2	2000
2	2000
2	2000
2	2000
2	2000
2	2000
2	2000
2	3000
2	3000
2	3000
2	4000
2	6000
2	5000
2	3000
2	3000
2	6000
2	4000
2	2000
2	5000
2	1000
2	7000
2	11000
2	8000
2	6000
2	2000
2	3000
2	6000
2	6000
2	8000
2	9000
2	2000
2	4000
2	1000
2	3000
2	2000
2	2000
2	3000
2	2000
2	2000
2	3000
2	4000
2	2000
2	2000
2	4000
2	4000
2	7000
2	3000
2	14000
2	3000
2	2000
2	2000
2	2000
2	2000
2	3000
2	1000
2	3000
2	3000
2	9000
2	4000
2	3000
2	4000
2	3000
2	3000
2	3000
2	4000
2	2000
2	4000
2	10000
2	3000
2	1000
2	9000
2	6000
2	6000
2	3000
2	6000
2	2000
2	3000
2	5000
2	3000
2	2000
2	4000
2	5000
2	2000
2	2000
2	3000
2	4000
2	4000
2	4000
2	4000
2	4000
2	2000
2	2000
2	2000
2	6000
2	2000
2	5000
2	3000
2	3000
2	3000
2	6000
2	3000
2	4000
2	1000
2	4000
2	1000
2	3000
2	14000
2	2000
2	1000
2	2000
2	1000
2	2000
2	2000
2	4000
2	10000
2	4000
2	2000
2	3000
2	2000
2	3000
2	4000
2	3000
2	3000
2	1000
2	1000
2	5000
2	4000
2	9000
2	6000
2	2000
2	2000
2	3000
2	10000
2	3000
2	4000
2	6000
2	2000
2	2000
2	2000
2	3000
2	3000
2	3000
2	2000
2	3000
2	3000
2	2000
2	2000
2	2000
2	2000
2	9000
2	3000
2	2000
2	2000
2	3000
2	2000
2	2000
2	3000
2	4000
2	3000
2	5000
2	1000
2	6000
2	2000
2	5000
2	2000
2	2000
2	3000
2	3000
2	4000
2	3000
2	3000
2	9000
2	2000
2	3000
2	2000
2	1000
2	3000
2	9000
2	5000
2	3000
2	3000
2	8000
2	3000
2	2000
2	9000
2	1000
2	3000
2	1000
2	8000
2	2000
2	21000
2	3000
2	13000
2	10000
2	3000
2	3000
2	9000
2	4000
2	3000
2	3000
2	9000
2	7000
2	2000
2	2000
2	3000
2	2000
2	3000
2	3000
2	2000
2	2000
2	3000
2	2000
2	5000
2	2000
2	2000
2	3000
2	2000
2	4000
2	7000
2	3000
2	2000
2	3000
2	5000
2	3000
2	2000
2	2000
2	1000
2	4000
2	7000
2	10000
2	2000
2	5000
2	14000
2	2000
2	5000
2	5000
2	9000
2	2000
2	4000
2	4000
2	2000
2	9000
2	9000
2	5000
2	4000
2	3000
2	3000
2	25000
2	5000
2	6000
2	8000
2	3000
2	7000
2	12000
2	2000
2	11000
2	19000
2	10000
2	6000
2	4000
2	8000
2	4000
2	14000
2	3000
2	16000
2	4000
2	5000
2	6000
2	20000
2	7000
2	16000
2	8000
2	11000
2	5000
2	6000
2	2000
2	7000
2	2000
2	7000
2	2000
2	4000
2	6000
2	2000
2	4000
2	3000
2	3000
2	7000
2	2000
2	4000
2	3000
2	3000
2	6000
2	4000
2	2000
2	5000
2	17000
2	3000
2	8000
2	3000
2	3000
2	5000
2	7000
2	2000
2	2000
2	2000
2	13000
2	6000
2	6000
2	2000
2	7000
2	2000
2	4000
2	7000
2	3000
2	3000
2	3000
2	2000
2	2000
2	2000
2	3000
2	3000
2	3000
2	3000
2	2000
2	3000
2	3000
2	4000
2	2000
2	3000
2	4000
2	1000
2	2000
2	3000
2	4000
2	4000
2	3000
2	9000
2	2000
2	5000
2	3000
2	21000
2	6000
2	4000
2	3000
2	27000
2	3000
2	7000
2	3000
2	4000
2	8000
2	8000
2	14000
2	9000
2	5000
2	2000
2	3000
2	2000
2	9000
2	3000
2	3000
2	2000
2	4000
2	5000
2	15000
2	17000
2	1000
2	8000
2	2000
2	3000
2	3000
2	17000
2	3000
2	3000
2	2000
2	4000
2	16000
2	4000
2	2000
2	6000
2	3000
2	4000
2	18000
2	3000
2	3000
2	8000
2	4000
2	3000
2	5000
2	19000
2	7000
2	5000
2	6000
2	6000
2	5000
2	15000
2	3000
2	14000
2	5000
2	6000
2	19000
2	15000
2	5000
2	7000
2	2000
2	14000
2	4000
2	5000
2	6000
2	12000
2	5000
2	3000
2	6000
2	8000
2	5000
2	4000
2	3000
2	3000
2	4000
2	6000
2	3000
2	2000
2	2000
2	2000
2	4000
2	6000
2	16000
2	2000
2	3000
2	8000
2	8000
2	3000
2	3000
2	3000
2	3000
2	7000
2	3000
2	3000
2	3000
2	3000
2	2000
2	2000
2	4000
2	4000
2	4000
2	4000
2	1000
2	2000
2	4000
2	4000
2	5000
2	16000
2	5000
2	2000
2	11000
2	9000
2	3000
2	6000
2	5000
2	2000
2	2000
2	3000
2	3000
2	1424
2	7000
2	16000
2	38000
2	3000
2	3000
2	3000
2	8000
2	2000
2	8000
2	2000
2	11000
2	6000
2	13000
2	6000
2	6000
2	3000
2	5000
2	6000
2	3000
2	3000
2	2000
2	19000
2	3000
2	6000
2	21000
2	9000
2	9000
2	8000
2	18000
2	16000
2	3000
2	7000
2	5000
2	23000
2	8000
2	4000
2	3000
2	3000
2	18000
2	5000
2	6000
2	2000
2	1000
2	26000
2	4000
2	2000
2	2000
2	2000
2	4000
2	2000
2	3000
2	4000
2	7000
2	2000
2	5000
2	1000
2	1000
2	3000
2	2000
2	9000
2	3000
2	1000
2	2000
2	4000
2	3000
2	13000
2	5000
2	1000
2	4000
2	2000
2	3000
2	2000
2	7000
2	7000
2	1000
2	2000
2	3000
2	2000
2	3000
2	4000
2	9000
2	14000
2	4000
2	4000
2	8000
2	28000
2	2000
2	9000
2	2000
2	10000
2	2000
2	9000
2	8000
2	4000
2	5000
2	4000
2	2000
2	9000
2	3000
2	4000
2	1000
2	2000
2	9000
2	3000
2	2000
2	2000
2	3000
2	6000
2	4000
2	3000
2	2000
2	2000
2	5000
2	3000
2	2000
2	2000
2	2000
2	2000
2	2000
2	2000
2	1000
2	5000
2	7000
2	5000
2	9000
2	2000
2	14000
2	7000
2	2000
2	4000
2	4000
2	3000
2	3000
2	6000
2	1000
2	1000
2	3000
2	2000
2	2000
2	1000
2	5000
2	7000
2	2000
2	3000
2	3000
2	4000
2	5000
2	3000
2	3000
2	3000
2	2000
2	5000
2	2000
2	2000
2	3000
2	2000
2	2000
2	2000
2	5000
2	4000
2	2000
2	2000
2	4000
2	3000
2	2000
2	3000
2	4000
2	4000
2	2000
2	4000
2	2000
2	4000
2	6000
2	6000
2	3000
2	2000
2	3000
2	2000
2	2000
2	14000
2	3000
2	2000
2	1000
2	2000
2	3000
2	1000
2	4000
2	2000
2	1000
2	6000
2	2000
2	13000
2	2000
2	7000
2	10000
2	4000
2	9000
2	5000
2	2000
2	2000
2	13000
2	5000
2	9000
2	15000
2	3000
2	5000
2	3000
2	6000
2	4000
2	3000
2	2000
2	1426
2	4000
2	1000
2	1000
2	1000
2	2000
2	2000
2	3000
2	3000
2	4000
2	1000
2	2000
2	2000
2	2000
2	2000
2	2000
2	2000
2	2000
2	2000
2	2000
2	1000
2	1000
2	1000
2	1000
2	2000
2	3000
2	3000
2	5000
2	5000
2	4000
2	50000
2	6000
2	1000
2	5000
2	3000
2	8000
2	16000
2	8000
2	9000
2	7000
2	13000
2	10000
2	23000
2	2000
2	2000
2	7000
2	3000
2	11000
2	4000
2	9000
2	9000
2	6000
2	7000
2	13000
2	4000
2	18000
2	12000
2	1000
2	7000
2	2000
2	2000
2	4000
2	4000
2	2000
2	5000
2	5000
2	4000
2	2000
2	4000
2	4000
2	3000
2	3000
2	13000
2	3000
2	3000
2	2000
2	3000
2	10000
2	22000
2	3000
2	4000
2	6000
2	2000
2	2000
2	2000
2	12000
2	4000
2	3000
2	4000
2	6000
2	5000
2	4000
2	4000
2	33000
2	5000
2	7000
2	5000
2	11000
2	3000
2	16000
2	2000
2	3000
2	5000
2	5000
2	3000
2	5000
2	7000
2	4000
2	5000
2	1000
2	3000
2	2000
2	2000
2	2000
2	3000
2	1000
2	2000
2	2000
2	3000
2	3000
2	2000
2	11000
2	19000
2	11000
2	12000
2	3000
2	11000
2	11000
2	6000
2	1000
2	4000
2	2000
2	2000
2	3000
2	5000
2	7000
2	1000
2	2000
2	3000
2	7000
2	11000
2	3000
2	2000
2	4000
2	7000
2	15000
2	2000
2	11000
2	3000
2	10000
2	6000
2	2000
2	2000
2	3000
2	2000
2	13000
2	22000
2	2000
2	1000
2	9000
2	3000
2	4000
2	9000
2	5000
2	4000
2	13000
2	7000
2	6000
2	6000
2	9000
2	5000
2	4000
2	11000
2	3000
2	4000
2	19000
2	2000
2	3000
2	2000
2	2000
2	1000
2	5000
2	3000
2	6000
2	3000
2	1000
2	5000
2	7000
2	3000
2	3000
2	1000
2	2000
2	3000
2	7000
2	4000
2	8000
2	6000
2	7000
2	3000
2	2000
2	3000
2	6000
2	8000
2	4000
2	3000
2	3000
2	2000
2	8000
2	1000
2	2000
2	4000
2	6000
2	6000
2	7000
2	3000
2	4000
2	2000
2	10000
2	4000
2	4000
2	22000
2	9000
2	19000
2	6000
2	1000
2	6000
2	3000
2	7000
2	7000
2	3000
2	4000
2	7000
2	2000
2	2000
2	4000
2	2000
2	3000
2	2000
2	11000
2	4000
2	4000
2	2000
2	14000
2	9000
2	7000
2	3000
2	4000
2	4000
2	3000
2	11000
2	1000
2	11000
2	3000
2	8000
2	5000
2	1000
2	3000
2	3000
2	4000
2	3000
2	4000
2	2000
2	3000
2	13000
2	3000
2	3000
2	2000
2	5000
2	7000
2	7000
2	4000
2	3000
2	5000
2	2000
2	3000
2	2000
2	2000
2	2000
4	2000
4	2000
4	3000
4	2000
4	2000
4	3000
4	2000
4	2000
4	2000
4	2000
4	4000
4	2000
4	4000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	4000
4	2000
4	4000
4	2000
4	3000
4	2000
4	7000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	3000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	3000
4	2000
4	2000
4	2000
4	2000
4	2000
4	3000
4	2000
4	2000
4	3000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	3000
4	3000
4	2000
4	5000
4	2000
4	2000
4	6000
4	2000
4	2000
4	3000
4	4000
4	4000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	7000
4	2000
4	2000
4	7000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	5000
4	2000
4	2000
4	3000
4	2000
4	2000
4	2000
4	3000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	6000
4	2000
4	2000
4	2000
4	2000
4	2000
4	8000
4	2000
4	2000
4	3000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	3000
4	3000
4	5000
4	2000
4	6000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	5000
4	2000
4	2000
4	2000
4	3000
4	2000
4	2000
4	2000
4	2000
4	4000
4	2000
4	2000
4	2000
4	5000
4	2000
4	2000
4	3000
4	2000
4	2000
4	3000
4	2000
4	3000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	3000
4	5000
4	2000
4	2000
4	3000
4	4000
4	2000
4	2000
4	2000
4	3000
4	2000
4	4000
4	2000
3	1000
3	2000
3	8000
3	11000
3	3000
3	2000
3	6000
3	2000
3	3000
3	2000
3	9000
3	2000
3	7000
3	6000
3	4000
3	3000
3	3000
3	2000
3	3000
3	6000
3	2000
3	4000
3	2000
3	2000
3	7000
3	8000
3	3000
3	2000
3	24000
3	2000
3	2000
3	3000
3	4000
3	1000
3	6000
3	4000
3	2000
3	2000
3	1000
3	2000
3	2000
3	12000
3	4000
3	8000
3	3000
3	2000
3	3000
3	9000
3	7000
3	2000
3	2000
3	3000
3	4000
3	4000
3	3000
3	1000
3	2000
3	2000
3	1000
3	2000
3	4000
3	3000
3	2000
3	2000
3	2000
3	3000
3	1000
3	2000
3	1000
3	4000
3	2000
3	3000
3	4000
3	2000
3	2000
3	12000
3	2000
3	11000
3	2000
3	3000
3	2000
3	4000
3	2000
3	9000
3	12000
3	13000
3	3000
3	13000
3	10000
3	8000
3	7000
3	10000
3	15000
3	10000
3	21000
3	5000
3	2000
3	16000
3	10000
3	7000
3	5000
3	28000
3	6000
3	5000
3	8000
3	12000
3	6000
3	12000
3	14000
3	4000
3	2000
3	24000
3	15000
3	9000
3	27000
3	2000
3	4000
3	8000
3	9000
3	9000
3	3000
3	4000
3	7000
3	11000
3	13000
3	7000
3	1000
3	6000
3	2000
3	3000
3	2000
3	2000
3	4000
3	6000
3	4000
3	5000
3	5000
3	3000
3	5000
3	3000
3	8000
3	3000
3	7000
3	2000
3	1000
3	11000
3	6000
3	2000
3	13000
3	2000
3	2000
3	2000
3	24000
3	2000
3	14000
3	13000
3	10000
3	2000
3	12000
3	3000
3	11000
3	4000
3	5000
3	4000
3	6000
3	25000
3	7000
3	7000
3	11000
3	2000
3	2000
3	2000
3	2000
3	3000
3	7000
3	3000
3	1000
3	2000
3	2000
3	3000
3	2000
3	2000
3	2000
3	3000
3	5000
3	2000
3	2000
3	4000
3	2000
3	5000
3	6000
3	5000
3	6000
3	7000
3	4000
3	3000
3	2000
3	9000
3	4000
3	2000
3	5000
3	3000
3	10000
3	3000
3	5000
3	12000
3	5000
3	3000
3	21000
3	1000
3	3000
3	7000
3	13000
3	7000
3	3000
3	5000
3	3000
3	2000
3	2000
3	2000
3	3000
3	2000
3	2000
3	2000
3	2000
3	3000
3	2000
3	3000
3	4000
3	10000
3	2000
3	4000
3	2000
3	2000
3	3000
3	2000
3	5000
3	4000
3	4000
3	4000
3	7000
3	6000
3	4000
3	6000
3	5000
3	3000
3	1000
3	2000
3	4000
3	2000
3	6000
3	2000
3	8000
3	4000
3	3000
3	2000
3	6000
3	3000
3	1000
3	1000
3	3000
3	16000
3	4000
3	9000
3	6000
3	4000
3	7000
3	4000
3	2000
3	22000
3	5000
3	11000
3	3000
3	2000
3	6000
3	3000
3	5000
3	2000
3	17000
3	18000
3	5000
3	11000
3	2000
3	2000
3	10000
3	10000
3	3000
3	8000
3	5000
3	6000
3	7000
3	4000
3	9000
3	5000
3	6000
3	6000
3	3000
3	3000
3	2000
3	1000
3	2000
3	2000
3	2000
3	2000
3	4000
3	3000
3	10000
3	2000
3	2000
3	2000
3	2000
3	3000
3	6000
3	1000
3	4000
3	3000
3	3000
3	1000
3	1999
3	2000
3	2000
3	2000
3	2000
3	3000
3	3000
3	1000
3	3000
3	2000
3	3000
3	4000
3	6000
3	3000
3	2000
3	2000
3	2000
3	2000
3	2000
3	5000
3	3000
3	9000
3	5000
3	2000
3	1000
3	4000
3	4000
3	2000
3	4000
3	2000
3	3000
3	1000
3	4000
3	10000
3	3000
3	2000
3	2000
3	4000
3	3000
3	4000
3	1000
3	4000
3	2000
3	2000
3	4000
3	5000
3	3000
3	2000
3	2000
3	1000
3	3000
3	2000
3	2000
3	9000
3	3000
3	3000
3	2000
3	8000
3	3000
3	2000
3	6000
3	3000
3	2000
3	2000
3	3000
3	1000
3	2000
3	1000
3	2000
3	1000
3	3000
3	3000
3	4000
3	14000
3	8000
3	7000
3	4000
3	2000
3	1000
3	2000
3	4000
3	2000
3	2000
3	3000
3	4000
3	5000
3	6000
3	2000
3	2000
3	2000
3	3000
3	1000
3	3000
3	8000
3	7000
3	2000
3	6000
3	2000
3	6000
3	2000
3	7000
3	7000
3	4000
3	3000
3	3000
3	2000
3	2000
3	2000
3	2000
3	1000
3	2000
3	2000
3	5000
3	3000
3	2000
3	8000
3	6000
3	2000
3	3000
3	3000
3	2000
3	2000
3	6000
3	2000
3	2000
3	4000
3	3000
3	4000
3	876
3	2000
3	3000
3	2000
3	2000
3	3000
3	1000
3	1000
3	3000
3	4000
3	2000
3	2000
3	2000
3	2000
3	2000
3	1000
3	3000
3	4000
3	5000
3	3000
3	2000
3	2000
3	2000
3	6000
3	3000
3	3000
3	2000
3	3000
3	6000
3	2000
3	1000
3	5000
3	3000
3	2000
3	2000
3	14000
3	5000
3	14000
3	2000
3	2000
3	2000
3	2000
3	1000
3	4000
3	1000
3	6000
3	3000
3	4000
3	5000
3	2000
3	3000
3	6000
3	2000
3	2000
3	5000
3	6000
3	6000
3	1000
3	4000
3	5000
3	2000
3	2000
3	2000
3	7000
3	2000
3	7000
3	4000
3	4000
3	3000
3	2000
3	4000
3	5000
3	2000
3	3000
3	2000
3	4000
3	2000
3	5000
3	7000
3	3000
3	3000
3	3000
3	3000
3	1000
3	2000
3	2000
3	3000
3	1000
3	3000
3	5000
3	11000
3	3000
3	5000
3	3000
3	6000
3	2000
3	2000
3	5000
3	1000
3	6000
3	2000
3	3000
3	9000
3	4000
3	3000
3	2000
3	2000
3	6000
3	2000
3	1000
3	3000
3	2000
3	5000
3	8000
3	2000
3	2000
3	12000
3	8000
3	1000
3	1000
3	9000
3	5000
3	4000
3	1000
3	2000
3	5000
3	2000
3	9000
3	2000
3	7000
3	8000
3	4000
3	6000
3	2000
3	3000
3	3000
3	2000
3	2000
3	3000
3	8000
3	5000
3	13000
3	2000
3	2000
3	10000
3	1000
3	1000
3	4000
3	7000
3	3000
3	5000
3	11000
3	4000
3	3000
3	2000
3	3000
3	5000
3	7000
3	3000
3	2000
3	3000
3	4000
3	1000
3	4000
3	8000
3	2000
3	4000
3	1000
3	3000
3	3000
3	6000
3	2000
3	6000
3	2000
3	1000
3	5000
3	1000
3	11000
3	2000
3	2000
3	4000
3	2986
3	4000
3	2000
3	1000
3	7000
3	2000
3	2000
3	2000
3	2000
3	1000
3	2000
3	8000
3	2000
3	7000
3	3000
3	3000
3	6000
3	2000
3	9000
3	2000
3	2000
3	2000
3	2000
3	3000
3	3000
3	2000
3	6000
3	4000
3	6000
3	1000
3	2000
3	3000
3	2000
3	2000
3	3000
3	2000
3	6000
3	4000
3	2000
3	3000
3	1000
3	5000
3	3000
3	8000
3	5000
3	4000
3	2000
3	2000
3	9000
3	3000
3	8000
3	2000
3	4000
3	2000
3	2000
3	3000
3	2000
3	5000
3	3000
3	3000
3	10000
3	5000
3	2000
3	1000
3	3000
3	2000
